2017 03 14 21 06 29 2.31e-22 3.16e-16 6.12e-20 3.58e-14 3.50e-14 2.93e-14 0.32
2017 03 14 21 08 00 1.33e-22 3.83e-19 1.47e-19 2.21e-14 4.60e-14 2.87e-14 0.31
2017 03 14 21 09 30 1.22e-21 6.36e-17 3.03e-20 3.44e-14 2.74e-14 3.71e-14 0.32
2017 03 14 21 11 00 4.34e-22 2.31e-15 1.86e-20 4.52e-14 2.48e-14 2.62e-14 0.32
2017 03 14 21 12 29 1.21e-21 1.04e-21 6.08e-20 5.74e-14 4.92e-15 2.77e-14 0.30
2017 03 14 21 13 59 1.24e-21 1.17e-22 2.81e-17 4.68e-14 2.58e-15 2.24e-14 0.26
2017 03 14 21 15 30 2.50e-23 9.61e-22 2.33e-19 3.85e-14 1.68e-14 2.31e-14 0.28
2017 03 14 21 17 00 2.93e-22 1.13e-22 3.74e-19 2.28e-14 4.35e-14 3.11e-14 0.31
2017 03 14 21 18 30 1.21e-21 1.46e-21 1.77e-18 1.38e-14 6.04e-14 3.05e-14 0.33
2017 03 14 21 20 00 8.49e-24 2.82e-23 1.13e-20 4.81e-14 2.52e-15 2.44e-14 0.27
2017 03 14 21 26 22 3.04e-22 1.17e-21 4.83e-19 9.59e-14 5.14e-14 2.56e-14 0.44
2017 03 14 21 27 52 1.06e-24 1.95e-21 1.08e-20 4.66e-14 5.10e-14 2.51e-14 0.36
2017 03 14 21 29 23 2.11e-22 1.59e-22 4.96e-22 8.49e-14 4.30e-14 2.13e-14 0.40
2017 03 14 21 30 54 5.31e-23 1.42e-23 3.74e-20 8.02e-14 4.06e-14 1.54e-14 0.38
2017 03 14 21 33 54 3.67e-23 4.36e-23 3.03e-19 6.54e-14 4.29e-14 1.61e-14 0.36
2017 03 14 21 35 25 4.40e-22 2.29e-22 1.43e-19 6.94e-14 4.09e-14 1.35e-14 0.36
2017 03 14 21 36 56 2.90e-22 6.97e-23 5.65e-21 3.67e-14 5.16e-14 1.16e-14 0.32
2017 03 14 21 38 26 1.28e-22 3.21e-22 1.38e-22 3.54e-14 4.60e-14 1.26e-14 0.30
2017 03 14 21 39 56 3.51e-22 2.54e-22 2.79e-20 4.25e-14 3.90e-14 1.29e-14 0.31
2017 03 14 21 42 57 1.88e-24 1.51e-21 1.04e-21 3.04e-14 4.57e-14 1.59e-14 0.30
2017 03 14 21 44 26 4.44e-23 2.23e-23 1.87e-20 5.58e-14 4.95e-14 1.97e-14 0.36
2017 03 14 21 45 56 6.47e-23 2.17e-23 6.82e-22 1.77e-14 5.61e-14 2.21e-14 0.31
2017 03 14 21 47 26 2.24e-22 1.65e-23 6.67e-22 3.58e-14 5.17e-14 1.89e-14 0.33
2017 03 14 21 48 57 5.96e-23 2.36e-22 2.85e-21 4.19e-15 8.44e-14 2.67e-14 0.34
2017 03 14 21 50 26 1.01e-22 4.30e-22 4.72e-21 2.25e-14 3.08e-14 1.86e-14 0.26
2017 03 14 21 51 57 5.43e-23 1.37e-21 6.24e-22 2.31e-14 2.93e-14 1.99e-14 0.26
2017 03 14 21 53 28 4.10e-23 2.02e-21 1.08e-18 5.46e-14 1.46e-14 2.52e-14 0.30
2017 03 14 21 55 00 8.17e-22 9.77e-22 3.15e-21 4.14e-14 2.94e-14 1.59e-14 0.29
2017 03 14 21 58 00 1.17e-21 1.77e-22 5.72e-21 1.63e-14 2.83e-14 1.30e-14 0.23
2017 03 14 22 01 00 1.51e-21 7.53e-24 2.39e-21 2.76e-14 3.34e-14 2.02e-14 0.28
2017 03 14 22 02 30 6.94e-23 2.44e-22 1.45e-22 3.76e-15 3.34e-14 1.94e-14 0.22
2017 03 14 22 05 32 3.61e-23 1.85e-22 1.18e-16 2.86e-14 1.52e-14 3.01e-14 0.26
2017 03 14 22 07 02 4.76e-22 1.99e-21 5.88e-20 1.62e-15 6.15e-14 2.28e-14 0.29
2017 03 14 22 08 32 2.04e-22 3.86e-22 2.07e-20 3.32e-15 9.18e-14 1.51e-14 0.33
2017 03 14 22 10 03 1.28e-21 2.05e-23 5.56e-25 1.30e-14 6.26e-14 1.16e-14 0.29
2017 03 14 22 11 33 1.37e-21 1.23e-21 2.19e-24 1.03e-14 7.46e-14 1.45e-14 0.31
2017 03 14 22 14 33 2.46e-23 2.16e-21 3.56e-20 3.08e-14 2.80e-14 3.58e-14 0.31
2017 03 14 22 16 04 8.90e-22 3.20e-15 7.95e-21 3.45e-14 3.51e-14 3.12e-14 0.32
2017 03 14 22 17 34 4.34e-22 1.68e-22 4.74e-20 1.82e-14 7.25e-14 2.16e-14 0.34
2017 03 14 22 20 34 3.50e-22 2.19e-21 1.34e-20 4.24e-14 4.65e-14 1.62e-14 0.33
2017 03 14 22 22 05 5.23e-24 1.48e-21 2.78e-21 4.22e-14 1.30e-14 2.08e-14 0.27
2017 03 14 22 23 34 2.87e-22 5.72e-15 8.16e-20 5.57e-14 3.34e-14 2.47e-14 0.35
2017 03 14 22 25 05 1.15e-21 2.12e-22 7.96e-21 5.05e-14 3.92e-14 1.70e-14 0.33
2017 03 14 22 26 37 8.77e-22 3.46e-16 4.82e-21 7.69e-14 3.28e-14 1.76e-14 0.37
2017 03 14 22 28 06 2.61e-22 1.68e-21 2.23e-22 1.41e-13 3.47e-14 2.07e-14 0.47
2017 03 14 22 29 37 6.03e-23 6.18e-15 7.04e-14 1.26e-13 1.75e-14 2.00e-14 0.53
2017 03 14 22 31 07 7.18e-23 1.02e-21 2.36e-15 1.01e-13 2.92e-15 1.90e-14 0.36
2017 03 14 22 32 38 6.11e-22 2.09e-15 1.31e-15 1.28e-13 6.51e-15 4.09e-14 0.45
